Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
systematic,0.95,30,0.005,1.0,93.0,2.0,53.0
systematic,0.95,30,0.005,6.0,79.0,1.0,
systematic,0.95,30,0.005,2.0,62.0,3.0,
systematic,0.95,30,0.005,1.0,20.0,6.0,60.0
systematic,0.95,30,0.005,1.0,30.0,1.0,
systematic,0.95,30,0.005,6.0,71.0,4.0,84.0
systematic,0.95,30,0.005,7.0,30.0,2.0,
systematic,0.95,30,0.005,2.0,74.0,14.0,
systematic,0.95,30,0.005,1.0,41.0,2.0,
systematic,0.95,30,0.005,1.0,,1.0,
systematic,0.95,30,0.005,6.0,50.0,8.0,
systematic,0.95,30,0.005,4.0,43.0,2.0,
systematic,0.95,30,0.005,7.0,24.0,7.0,
systematic,0.95,30,0.005,1.0,69.0,1.0,36.0
systematic,0.95,30,0.005,2.0,1.0,4.0,
systematic,0.95,30,0.005,1.0,6.0,1.0,61.0
systematic,0.95,30,0.005,1.0,36.0,1.0,
systematic,0.95,30,0.005,3.0,4.0,1.0,28.0
systematic,0.95,30,0.005,1.0,24.0,1.0,36.0
systematic,0.95,30,0.005,3.0,6.0,1.0,
systematic,0.95,30,0.005,1.0,43.0,1.0,
systematic,0.95,30,0.005,1.0,90.0,1.0,
systematic,0.95,30,0.005,1.0,101.0,5.0,
systematic,0.95,30,0.005,1.0,49.0,3.0,
systematic,0.95,30,0.005,12.0,59.0,1.0,
systematic,0.95,30,0.005,4.0,82.0,5.0,
systematic,0.95,30,0.005,4.0,42.0,1.0,
systematic,0.95,30,0.005,4.0,61.0,1.0,
systematic,0.95,30,0.005,1.0,5.0,1.0,22.0
systematic,0.95,30,0.005,1.0,,2.0,
systematic,0.95,30,0.005,1.0,75.0,6.0,
systematic,0.95,30,0.005,7.0,50.0,9.0,
systematic,0.95,30,0.005,1.0,77.0,1.0,
systematic,0.95,30,0.005,3.0,7.0,4.0,
systematic,0.95,30,0.005,1.0,19.0,1.0,52.0
systematic,0.95,30,0.005,3.0,52.0,3.0,
systematic,0.95,30,0.005,1.0,,14.0,97.0
systematic,0.95,30,0.005,3.0,,2.0,63.0
systematic,0.95,30,0.005,1.0,,18.0,
systematic,0.95,30,0.005,1.0,,5.0,36.0
systematic,0.95,30,0.005,2.0,57.0,1.0,66.0
systematic,0.95,30,0.005,3.0,33.0,9.0,42.0
systematic,0.95,30,0.005,1.0,41.0,9.0,30.0
systematic,0.95,30,0.005,1.0,2.0,6.0,36.0
systematic,0.95,30,0.005,3.0,,7.0,108.0
systematic,0.95,30,0.005,9.0,,6.0,9.0
systematic,0.95,30,0.005,5.0,29.0,7.0,
systematic,0.95,30,0.005,1.0,,7.0,
systematic,0.95,30,0.005,6.0,,2.0,91.0
systematic,0.95,30,0.005,2.0,17.0,1.0,1.0
systematic,0.95,30,0.005,1.0,1.0,1.0,7.0
systematic,0.95,30,0.005,1.0,,6.0,58.0
systematic,0.95,30,0.005,8.0,,1.0,
systematic,0.95,30,0.005,10.0,,7.0,88.0
systematic,0.95,30,0.005,4.0,109.0,1.0,
systematic,0.95,30,0.005,5.0,87.0,20.0,
systematic,0.95,30,0.005,1.0,89.0,3.0,
systematic,0.95,30,0.005,1.0,2.0,7.0,97.0
systematic,0.95,30,0.005,14.0,21.0,3.0,
systematic,0.95,30,0.005,1.0,31.0,13.0,
systematic,0.95,30,0.005,4.0,25.0,2.0,
systematic,0.95,30,0.005,1.0,,10.0,19.0
systematic,0.95,30,0.005,2.0,,1.0,
systematic,0.95,30,0.005,27.0,,7.0,67.0
