Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,4.0,7.0,6.0,1.0
upshift,0.5,50,0.005,1.0,2.0,1.0,1.0
upshift,0.5,50,0.005,4.0,5.0,14.0,1.0
upshift,0.5,50,0.005,1.0,9.0,1.0,1.0
upshift,0.5,50,0.005,1.0,2.0,1.0,1.0
upshift,0.5,50,0.005,1.0,22.0,3.0,1.0
upshift,0.5,50,0.005,1.0,4.0,5.0,1.0
upshift,0.5,50,0.005,5.0,1.0,4.0,1.0
upshift,0.5,50,0.005,1.0,1.0,4.0,11.0
upshift,0.5,50,0.005,2.0,3.0,2.0,2.0
upshift,0.5,50,0.005,5.0,2.0,1.0,1.0
upshift,0.5,50,0.005,3.0,10.0,2.0,1.0
upshift,0.5,50,0.005,2.0,2.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,5.0,3.0
upshift,0.5,50,0.005,2.0,2.0,1.0,8.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,7.0,5.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,2.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,2.0,2.0,1.0,1.0
upshift,0.5,50,0.005,8.0,16.0,1.0,1.0
upshift,0.5,50,0.005,2.0,2.0,1.0,1.0
upshift,0.5,50,0.005,10.0,1.0,6.0,4.0
upshift,0.5,50,0.005,1.0,4.0,3.0,1.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,4.0,4.0,4.0,1.0
upshift,0.5,50,0.005,1.0,2.0,5.0,1.0
upshift,0.5,50,0.005,3.0,3.0,3.0,1.0
upshift,0.5,50,0.005,1.0,1.0,4.0,1.0
upshift,0.5,50,0.005,15.0,3.0,6.0,5.0
upshift,0.5,50,0.005,3.0,1.0,3.0,1.0
upshift,0.5,50,0.005,2.0,2.0,6.0,1.0
upshift,0.5,50,0.005,9.0,1.0,7.0,5.0
upshift,0.5,50,0.005,3.0,1.0,3.0,1.0
upshift,0.5,50,0.005,1.0,1.0,3.0,1.0
upshift,0.5,50,0.005,4.0,6.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,7.0,7.0
upshift,0.5,50,0.005,4.0,4.0,1.0,1.0
upshift,0.5,50,0.005,4.0,6.0,1.0,1.0
upshift,0.5,50,0.005,1.0,2.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,2.0,3.0,1.0
upshift,0.5,50,0.005,2.0,1.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,2.0,16.0
upshift,0.5,50,0.005,2.0,2.0,1.0,1.0
upshift,0.5,50,0.005,5.0,4.0,1.0,1.0
upshift,0.5,50,0.005,1.0,9.0,1.0,1.0
upshift,0.5,50,0.005,1.0,1.0,14.0,13.0
upshift,0.5,50,0.005,1.0,1.0,1.0,4.0
upshift,0.5,50,0.005,2.0,2.0,5.0,1.0
