Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.95,30,0.005,10.0,65.0,20.0,69.0
upshift,0.95,30,0.005,1.0,63.0,1.0,3.0
upshift,0.95,30,0.005,1.0,38.0,4.0,8.0
upshift,0.95,30,0.005,2.0,17.0,7.0,43.0
upshift,0.95,30,0.005,1.0,112.0,1.0,65.0
upshift,0.95,30,0.005,5.0,48.0,7.0,6.0
upshift,0.95,30,0.005,15.0,53.0,1.0,49.0
upshift,0.95,30,0.005,5.0,12.0,1.0,39.0
upshift,0.95,30,0.005,1.0,10.0,1.0,12.0
upshift,0.95,30,0.005,7.0,19.0,1.0,36.0
upshift,0.95,30,0.005,5.0,24.0,9.0,54.0
upshift,0.95,30,0.005,2.0,115.0,14.0,1.0
upshift,0.95,30,0.005,8.0,5.0,13.0,41.0
upshift,0.95,30,0.005,28.0,,19.0,13.0
upshift,0.95,30,0.005,13.0,46.0,9.0,3.0
upshift,0.95,30,0.005,1.0,1.0,10.0,15.0
upshift,0.95,30,0.005,4.0,19.0,4.0,3.0
upshift,0.95,30,0.005,6.0,,33.0,5.0
upshift,0.95,30,0.005,2.0,23.0,1.0,36.0
upshift,0.95,30,0.005,1.0,29.0,1.0,33.0
upshift,0.95,30,0.005,7.0,12.0,8.0,28.0
upshift,0.95,30,0.005,1.0,33.0,14.0,17.0
upshift,0.95,30,0.005,1.0,105.0,6.0,
upshift,0.95,30,0.005,10.0,68.0,1.0,21.0
upshift,0.95,30,0.005,1.0,57.0,7.0,7.0
upshift,0.95,30,0.005,10.0,19.0,6.0,22.0
upshift,0.95,30,0.005,1.0,41.0,14.0,29.0
upshift,0.95,30,0.005,1.0,16.0,3.0,3.0
upshift,0.95,30,0.005,9.0,14.0,6.0,
upshift,0.95,30,0.005,16.0,24.0,1.0,8.0
upshift,0.95,30,0.005,1.0,,1.0,40.0
upshift,0.95,30,0.005,5.0,,5.0,18.0
upshift,0.95,30,0.005,1.0,39.0,2.0,47.0
upshift,0.95,30,0.005,8.0,1.0,1.0,83.0
upshift,0.95,30,0.005,5.0,103.0,8.0,6.0
upshift,0.95,30,0.005,6.0,8.0,10.0,6.0
upshift,0.95,30,0.005,6.0,12.0,3.0,10.0
upshift,0.95,30,0.005,1.0,106.0,1.0,43.0
upshift,0.95,30,0.005,7.0,51.0,1.0,38.0
upshift,0.95,30,0.005,16.0,,15.0,48.0
upshift,0.95,30,0.005,3.0,16.0,1.0,75.0
upshift,0.95,30,0.005,1.0,7.0,1.0,22.0
upshift,0.95,30,0.005,1.0,1.0,1.0,12.0
upshift,0.95,30,0.005,1.0,7.0,1.0,79.0
upshift,0.95,30,0.005,1.0,23.0,1.0,1.0
upshift,0.95,30,0.005,4.0,,7.0,
upshift,0.95,30,0.005,10.0,14.0,5.0,20.0
upshift,0.95,30,0.005,14.0,95.0,6.0,12.0
upshift,0.95,30,0.005,11.0,46.0,10.0,33.0
upshift,0.95,30,0.005,2.0,9.0,1.0,7.0
upshift,0.95,30,0.005,1.0,,1.0,5.0
upshift,0.95,30,0.005,7.0,40.0,1.0,73.0
upshift,0.95,30,0.005,1.0,91.0,4.0,31.0
upshift,0.95,30,0.005,1.0,5.0,1.0,3.0
upshift,0.95,30,0.005,1.0,50.0,1.0,27.0
upshift,0.95,30,0.005,1.0,19.0,3.0,3.0
upshift,0.95,30,0.005,5.0,105.0,19.0,33.0
upshift,0.95,30,0.005,10.0,102.0,3.0,32.0
upshift,0.95,30,0.005,5.0,6.0,4.0,52.0
upshift,0.95,30,0.005,9.0,11.0,1.0,38.0
upshift,0.95,30,0.005,1.0,69.0,4.0,30.0
upshift,0.95,30,0.005,8.0,1.0,1.0,7.0
upshift,0.95,30,0.005,1.0,14.0,1.0,9.0
upshift,0.95,30,0.005,1.0,65.0,10.0,10.0
upshift,0.95,30,0.005,1.0,47.0,3.0,36.0
upshift,0.95,30,0.005,1.0,43.0,1.0,9.0
upshift,0.95,30,0.005,16.0,62.0,1.0,2.0
upshift,0.95,30,0.005,1.0,22.0,1.0,6.0
upshift,0.95,30,0.005,5.0,28.0,14.0,39.0
upshift,0.95,30,0.005,17.0,16.0,1.0,16.0
upshift,0.95,30,0.005,3.0,6.0,1.0,2.0
upshift,0.95,30,0.005,1.0,45.0,5.0,20.0
upshift,0.95,30,0.005,3.0,40.0,1.0,5.0
upshift,0.95,30,0.005,1.0,38.0,1.0,86.0
upshift,0.95,30,0.005,1.0,93.0,9.0,48.0
upshift,0.95,30,0.005,1.0,105.0,1.0,64.0
upshift,0.95,30,0.005,1.0,94.0,4.0,19.0
upshift,0.95,30,0.005,5.0,33.0,3.0,22.0
upshift,0.95,30,0.005,1.0,59.0,1.0,1.0
upshift,0.95,30,0.005,1.0,85.0,4.0,60.0
upshift,0.95,30,0.005,5.0,69.0,2.0,48.0
upshift,0.95,30,0.005,2.0,83.0,1.0,8.0
upshift,0.95,30,0.005,1.0,32.0,1.0,34.0
upshift,0.95,30,0.005,2.0,15.0,3.0,10.0
upshift,0.95,30,0.005,9.0,31.0,1.0,13.0
upshift,0.95,30,0.005,1.0,1.0,1.0,
upshift,0.95,30,0.005,3.0,4.0,8.0,12.0
upshift,0.95,30,0.005,2.0,114.0,6.0,44.0
upshift,0.95,30,0.005,16.0,18.0,1.0,66.0
upshift,0.95,30,0.005,11.0,10.0,16.0,18.0
