Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.95,30,0.605,5.0,5.0,16.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,10.0,7.0
downtrend,0.95,30,0.605,4.0,4.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,8.0
downtrend,0.95,30,0.605,6.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,7.0
downtrend,0.95,30,0.605,5.0,4.0,17.0,8.0
downtrend,0.95,30,0.605,5.0,6.0,17.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,4.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,7.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,7.0
downtrend,0.95,30,0.605,8.0,7.0,16.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,18.0,9.0
downtrend,0.95,30,0.605,6.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,7.0
downtrend,0.95,30,0.605,4.0,4.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,14.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,7.0
downtrend,0.95,30,0.605,6.0,7.0,14.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,16.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,18.0,8.0
downtrend,0.95,30,0.605,3.0,3.0,10.0,7.0
downtrend,0.95,30,0.605,7.0,7.0,14.0,9.0
downtrend,0.95,30,0.605,8.0,8.0,16.0,10.0
downtrend,0.95,30,0.605,3.0,3.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,16.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,3.0,3.0,14.0,7.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,11.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,11.0,7.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,17.0,10.0
downtrend,0.95,30,0.605,6.0,7.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,10.0,9.0
downtrend,0.95,30,0.605,6.0,5.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,7.0,15.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,16.0,8.0
downtrend,0.95,30,0.605,5.0,6.0,14.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,18.0,9.0
downtrend,0.95,30,0.605,4.0,3.0,16.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,11.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,18.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,17.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,9.0
downtrend,0.95,30,0.605,8.0,8.0,15.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,9.0
downtrend,0.95,30,0.605,7.0,5.0,13.0,9.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,7.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,5.0,10.0,8.0
downtrend,0.95,30,0.605,5.0,4.0,11.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,18.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,17.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,9.0
downtrend,0.95,30,0.605,2.0,3.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,14.0,9.0
downtrend,0.95,30,0.605,4.0,5.0,14.0,9.0
downtrend,0.95,30,0.605,3.0,4.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,8.0
downtrend,0.95,30,0.605,4.0,4.0,15.0,7.0
downtrend,0.95,30,0.605,3.0,4.0,17.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,4.0,4.0,17.0,8.0
downtrend,0.95,30,0.605,5.0,7.0,16.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,18.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,11.0,8.0
downtrend,0.95,30,0.605,4.0,4.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,18.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,12.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,17.0,10.0
downtrend,0.95,30,0.605,4.0,4.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,7.0,8.0,15.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,11.0,7.0
downtrend,0.95,30,0.605,7.0,7.0,14.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,12.0,9.0
downtrend,0.95,30,0.605,6.0,7.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,16.0,9.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,7.0
downtrend,0.95,30,0.605,6.0,5.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,6.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,9.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,4.0,9.0,6.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,18.0,10.0
downtrend,0.95,30,0.605,7.0,7.0,13.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,4.0,14.0,7.0
downtrend,0.95,30,0.605,5.0,6.0,14.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,6.0,15.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,12.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,7.0
downtrend,0.95,30,0.605,5.0,5.0,11.0,7.0
downtrend,0.95,30,0.605,7.0,7.0,18.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,10.0
downtrend,0.95,30,0.605,7.0,6.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,4.0,14.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,12.0,8.0
downtrend,0.95,30,0.605,4.0,5.0,18.0,8.0
downtrend,0.95,30,0.605,7.0,6.0,11.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,12.0,8.0
downtrend,0.95,30,0.605,6.0,5.0,17.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,3.0,3.0,18.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,8.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,6.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,14.0,8.0
downtrend,0.95,30,0.605,4.0,4.0,16.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,10.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,8.0
downtrend,0.95,30,0.605,4.0,4.0,13.0,7.0
downtrend,0.95,30,0.605,6.0,7.0,13.0,8.0
downtrend,0.95,30,0.605,4.0,8.0,18.0,10.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,17.0,8.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,8.0
downtrend,0.95,30,0.605,6.0,7.0,19.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,15.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,11.0,7.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,9.0
downtrend,0.95,30,0.605,6.0,5.0,18.0,10.0
downtrend,0.95,30,0.605,6.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,5.0,6.0,13.0,7.0
downtrend,0.95,30,0.605,5.0,4.0,18.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,14.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,17.0,9.0
downtrend,0.95,30,0.605,5.0,5.0,17.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,13.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,13.0,8.0
downtrend,0.95,30,0.605,6.0,6.0,16.0,10.0
downtrend,0.95,30,0.605,5.0,6.0,17.0,8.0
downtrend,0.95,30,0.605,5.0,5.0,19.0,9.0
downtrend,0.95,30,0.605,6.0,6.0,14.0,8.0
downtrend,0.95,30,0.605,4.0,5.0,15.0,8.0
downtrend,0.95,30,0.605,5.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,17.0,10.0
downtrend,0.95,30,0.605,7.0,6.0,16.0,9.0
downtrend,0.95,30,0.605,7.0,7.0,15.0,9.0
downtrend,0.95,30,0.605,4.0,4.0,15.0,7.0
