Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,CSBiLSTM - MRDS,BiLSTM - MRDS,CSBiLSTM - AUDS,BiLSTM - AUDS
uptrend,0.5,30,0.005,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.08,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.155,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.23,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.305,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.38,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.455,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.53,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.605,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.68,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.755,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.83,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.905,0.0,0.0,0.0,0.0
uptrend,0.5,30,0.98,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.055,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.13,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.205,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.28,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.355,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.43,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.505,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.58,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.655,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.73,0.0,0.0,0.0,0.0
uptrend,0.5,30,1.805,0.0,0.0,0.0,0.0
uptrend,0.5,50,0.005,0.0,0.0,0.0,0.0
uptrend,0.5,50,0.08,0.0,0.0,0.0,0.0
uptrend,0.5,50,0.155,0.0,0.0,0.0,0.0
uptrend,0.5,50,0.23,0.0,0.0,0.0,0.0
uptrend,0.5,50,0.305,0.0,0.0,0.0,0.0
