Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
uptrend,0.95,30,0.155,8.0,10.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,11.0,17.0,17.0
uptrend,0.95,30,0.155,7.0,11.0,17.0,18.0
uptrend,0.95,30,0.155,9.0,11.0,16.0,17.0
uptrend,0.95,30,0.155,7.0,11.0,22.0,20.0
uptrend,0.95,30,0.155,12.0,14.0,20.0,20.0
uptrend,0.95,30,0.155,12.0,15.0,19.0,20.0
uptrend,0.95,30,0.155,6.0,7.0,20.0,18.0
uptrend,0.95,30,0.155,6.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,8.0,16.0,16.0
uptrend,0.95,30,0.155,4.0,9.0,17.0,18.0
uptrend,0.95,30,0.155,8.0,10.0,20.0,20.0
uptrend,0.95,30,0.155,5.0,8.0,20.0,20.0
uptrend,0.95,30,0.155,9.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,1.0,1.0,18.0,19.0
uptrend,0.95,30,0.155,9.0,11.0,16.0,18.0
uptrend,0.95,30,0.155,7.0,9.0,14.0,17.0
uptrend,0.95,30,0.155,10.0,10.0,16.0,16.0
uptrend,0.95,30,0.155,11.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,12.0,14.0,20.0,20.0
uptrend,0.95,30,0.155,7.0,9.0,17.0,18.0
uptrend,0.95,30,0.155,9.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,14.0,14.0,20.0,21.0
uptrend,0.95,30,0.155,10.0,11.0,20.0,21.0
uptrend,0.95,30,0.155,9.0,10.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,14.0,21.0,21.0
uptrend,0.95,30,0.155,9.0,9.0,15.0,15.0
uptrend,0.95,30,0.155,7.0,10.0,16.0,17.0
uptrend,0.95,30,0.155,9.0,10.0,20.0,19.0
uptrend,0.95,30,0.155,10.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,8.0,9.0,19.0,17.0
uptrend,0.95,30,0.155,8.0,9.0,21.0,21.0
uptrend,0.95,30,0.155,8.0,11.0,19.0,20.0
uptrend,0.95,30,0.155,7.0,9.0,16.0,16.0
uptrend,0.95,30,0.155,6.0,8.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,8.0,11.0,18.0,19.0
uptrend,0.95,30,0.155,9.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,10.0,10.0,20.0,21.0
uptrend,0.95,30,0.155,9.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,9.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,8.0,9.0,18.0,19.0
uptrend,0.95,30,0.155,3.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,5.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,9.0,19.0,19.0
uptrend,0.95,30,0.155,6.0,11.0,17.0,18.0
uptrend,0.95,30,0.155,3.0,5.0,17.0,15.0
uptrend,0.95,30,0.155,12.0,14.0,20.0,21.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,21.0
uptrend,0.95,30,0.155,10.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,7.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,6.0,11.0,18.0,19.0
uptrend,0.95,30,0.155,9.0,10.0,20.0,19.0
uptrend,0.95,30,0.155,9.0,13.0,19.0,20.0
uptrend,0.95,30,0.155,10.0,11.0,16.0,17.0
uptrend,0.95,30,0.155,9.0,12.0,22.0,22.0
uptrend,0.95,30,0.155,7.0,11.0,21.0,21.0
uptrend,0.95,30,0.155,9.0,11.0,16.0,17.0
uptrend,0.95,30,0.155,1.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,6.0,6.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,12.0,17.0,17.0
uptrend,0.95,30,0.155,6.0,9.0,21.0,21.0
uptrend,0.95,30,0.155,6.0,7.0,18.0,18.0
uptrend,0.95,30,0.155,5.0,8.0,19.0,18.0
uptrend,0.95,30,0.155,8.0,10.0,18.0,18.0
uptrend,0.95,30,0.155,5.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,4.0,10.0,16.0,17.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,5.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,13.0,20.0,20.0
uptrend,0.95,30,0.155,9.0,10.0,20.0,21.0
uptrend,0.95,30,0.155,6.0,6.0,19.0,19.0
uptrend,0.95,30,0.155,12.0,14.0,21.0,21.0
uptrend,0.95,30,0.155,1.0,8.0,19.0,18.0
uptrend,0.95,30,0.155,5.0,8.0,17.0,17.0
uptrend,0.95,30,0.155,11.0,16.0,23.0,23.0
uptrend,0.95,30,0.155,3.0,6.0,21.0,19.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,7.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,8.0,20.0,20.0
uptrend,0.95,30,0.155,8.0,8.0,20.0,21.0
uptrend,0.95,30,0.155,6.0,7.0,20.0,16.0
uptrend,0.95,30,0.155,16.0,16.0,18.0,20.0
uptrend,0.95,30,0.155,9.0,13.0,17.0,18.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,20.0
uptrend,0.95,30,0.155,8.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,8.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,8.0,10.0,17.0,17.0
uptrend,0.95,30,0.155,12.0,12.0,20.0,21.0
uptrend,0.95,30,0.155,9.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,12.0,12.0,19.0,20.0
uptrend,0.95,30,0.155,7.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,8.0,9.0,23.0,22.0
uptrend,0.95,30,0.155,4.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,8.0,10.0,16.0,17.0
uptrend,0.95,30,0.155,5.0,8.0,17.0,18.0
uptrend,0.95,30,0.155,11.0,14.0,22.0,22.0
uptrend,0.95,30,0.155,6.0,7.0,16.0,16.0
uptrend,0.95,30,0.155,7.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,8.0,11.0,17.0,19.0
uptrend,0.95,30,0.155,1.0,8.0,15.0,17.0
uptrend,0.95,30,0.155,10.0,14.0,18.0,19.0
uptrend,0.95,30,0.155,8.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,10.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,6.0,8.0,18.0,19.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,20.0
uptrend,0.95,30,0.155,4.0,5.0,19.0,17.0
uptrend,0.95,30,0.155,9.0,10.0,19.0,18.0
uptrend,0.95,30,0.155,5.0,10.0,18.0,19.0
uptrend,0.95,30,0.155,12.0,13.0,19.0,19.0
uptrend,0.95,30,0.155,8.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,8.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,10.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,8.0,16.0,16.0
uptrend,0.95,30,0.155,10.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,13.0,14.0,18.0,18.0
uptrend,0.95,30,0.155,6.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,10.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,12.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,11.0,12.0,16.0,16.0
uptrend,0.95,30,0.155,9.0,10.0,17.0,17.0
uptrend,0.95,30,0.155,7.0,9.0,14.0,15.0
uptrend,0.95,30,0.155,2.0,4.0,23.0,20.0
uptrend,0.95,30,0.155,5.0,6.0,18.0,17.0
uptrend,0.95,30,0.155,5.0,10.0,17.0,17.0
uptrend,0.95,30,0.155,6.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,8.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,9.0,16.0,16.0
uptrend,0.95,30,0.155,1.0,1.0,21.0,19.0
uptrend,0.95,30,0.155,9.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,5.0,12.0,18.0,18.0
uptrend,0.95,30,0.155,5.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,7.0,10.0,20.0,20.0
uptrend,0.95,30,0.155,8.0,9.0,20.0,19.0
uptrend,0.95,30,0.155,3.0,6.0,21.0,20.0
uptrend,0.95,30,0.155,7.0,11.0,15.0,17.0
uptrend,0.95,30,0.155,8.0,10.0,19.0,20.0
uptrend,0.95,30,0.155,2.0,3.0,15.0,14.0
uptrend,0.95,30,0.155,3.0,8.0,13.0,15.0
uptrend,0.95,30,0.155,8.0,10.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,12.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,7.0,19.0,19.0
uptrend,0.95,30,0.155,9.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,11.0,12.0,20.0,20.0
uptrend,0.95,30,0.155,4.0,10.0,19.0,18.0
uptrend,0.95,30,0.155,6.0,8.0,18.0,19.0
uptrend,0.95,30,0.155,9.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,10.0,11.0,22.0,20.0
uptrend,0.95,30,0.155,2.0,11.0,20.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,21.0,21.0
uptrend,0.95,30,0.155,7.0,11.0,21.0,20.0
uptrend,0.95,30,0.155,10.0,13.0,20.0,20.0
uptrend,0.95,30,0.155,8.0,13.0,21.0,21.0
uptrend,0.95,30,0.155,11.0,14.0,20.0,20.0
uptrend,0.95,30,0.155,8.0,9.0,16.0,16.0
uptrend,0.95,30,0.155,3.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,3.0,8.0,17.0,17.0
uptrend,0.95,30,0.155,7.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,13.0,20.0,20.0
uptrend,0.95,30,0.155,6.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,2.0,9.0,15.0,15.0
uptrend,0.95,30,0.155,11.0,13.0,19.0,19.0
uptrend,0.95,30,0.155,7.0,8.0,19.0,18.0
uptrend,0.95,30,0.155,5.0,5.0,20.0,20.0
uptrend,0.95,30,0.155,10.0,11.0,16.0,18.0
uptrend,0.95,30,0.155,8.0,14.0,21.0,21.0
uptrend,0.95,30,0.155,5.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,10.0,20.0,19.0
uptrend,0.95,30,0.155,2.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,9.0,12.0,18.0,20.0
uptrend,0.95,30,0.155,6.0,10.0,16.0,17.0
uptrend,0.95,30,0.155,8.0,9.0,20.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,9.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,9.0,10.0,21.0,21.0
uptrend,0.95,30,0.155,9.0,14.0,19.0,19.0
uptrend,0.95,30,0.155,8.0,8.0,20.0,19.0
uptrend,0.95,30,0.155,10.0,11.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,9.0,16.0,18.0
uptrend,0.95,30,0.155,11.0,13.0,17.0,19.0
uptrend,0.95,30,0.155,1.0,11.0,19.0,19.0
uptrend,0.95,30,0.155,12.0,13.0,19.0,20.0
uptrend,0.95,30,0.155,10.0,11.0,21.0,20.0
uptrend,0.95,30,0.155,4.0,12.0,18.0,18.0
uptrend,0.95,30,0.155,6.0,8.0,21.0,21.0
uptrend,0.95,30,0.155,7.0,9.0,22.0,22.0
uptrend,0.95,30,0.155,12.0,14.0,19.0,19.0
uptrend,0.95,30,0.155,7.0,8.0,19.0,20.0
uptrend,0.95,30,0.155,11.0,12.0,18.0,18.0
uptrend,0.95,30,0.155,9.0,11.0,21.0,21.0
uptrend,0.95,30,0.155,3.0,11.0,18.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,7.0,8.0,16.0,17.0
uptrend,0.95,30,0.155,11.0,11.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,12.0,18.0,19.0
uptrend,0.95,30,0.155,5.0,13.0,21.0,21.0
uptrend,0.95,30,0.155,12.0,13.0,18.0,20.0
uptrend,0.95,30,0.155,11.0,11.0,17.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,18.0,19.0
uptrend,0.95,30,0.155,7.0,8.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,12.0,16.0,17.0
uptrend,0.95,30,0.155,6.0,11.0,20.0,20.0
uptrend,0.95,30,0.155,11.0,13.0,20.0,20.0
uptrend,0.95,30,0.155,7.0,9.0,17.0,17.0
uptrend,0.95,30,0.155,6.0,10.0,19.0,19.0
uptrend,0.95,30,0.155,11.0,12.0,19.0,20.0
uptrend,0.95,30,0.155,9.0,10.0,18.0,18.0
uptrend,0.95,30,0.155,6.0,7.0,17.0,16.0
uptrend,0.95,30,0.155,9.0,13.0,20.0,20.0
uptrend,0.95,30,0.155,6.0,7.0,17.0,16.0
uptrend,0.95,30,0.155,6.0,7.0,17.0,17.0
uptrend,0.95,30,0.155,10.0,13.0,19.0,19.0
uptrend,0.95,30,0.155,11.0,11.0,21.0,21.0
uptrend,0.95,30,0.155,12.0,13.0,19.0,19.0
uptrend,0.95,30,0.155,5.0,7.0,20.0,19.0
uptrend,0.95,30,0.155,10.0,11.0,16.0,17.0
uptrend,0.95,30,0.155,7.0,11.0,16.0,16.0
uptrend,0.95,30,0.155,6.0,6.0,20.0,19.0
uptrend,0.95,30,0.155,12.0,12.0,19.0,19.0
uptrend,0.95,30,0.155,5.0,6.0,17.0,17.0
uptrend,0.95,30,0.155,7.0,8.0,22.0,22.0
uptrend,0.95,30,0.155,4.0,8.0,15.0,16.0
uptrend,0.95,30,0.155,9.0,10.0,20.0,19.0
uptrend,0.95,30,0.155,9.0,10.0,18.0,19.0
uptrend,0.95,30,0.155,7.0,9.0,18.0,18.0
uptrend,0.95,30,0.155,11.0,11.0,21.0,22.0
uptrend,0.95,30,0.155,6.0,12.0,18.0,18.0
uptrend,0.95,30,0.155,7.0,10.0,18.0,19.0
uptrend,0.95,30,0.155,10.0,11.0,16.0,17.0
